STREET,CITY,POSTCODE,STATE,COUNTRY
ASH LN,HARWOOD,58042,NORTH DAKOTA,USA
CO RD   17   S,HORACE,58047,NORTH DAKOTA,USA
BROOKTREE CIR,HARWOOD,58042,NORTH DAKOTA,USA
NYLAND LN,HARWOOD,58042,NORTH DAKOTA,USA
EVERGREEN LN,KINDRED,58051,NORTH DAKOTA,USA
RIVER RD E,KINDRED,58051,NORTH DAKOTA,USA
ELM TREE RD,KINDRED,58051,NORTH DAKOTA,USA
CROSS RD,KINDRED,58051,NORTH DAKOTA,USA
CO RD   81   S,HORACE,58047,NORTH DAKOTA,USA
US HWY 38,HOPE,58046,NORTH DAKOTA,USA
HWY   38TH,PAGE,58064,NORTH DAKOTA,USA
OXBOW CIR,OXBOW,58047,NORTH DAKOTA,USA
RIVERBEND RD,OXBOW,58047,NORTH DAKOTA,USA
LIND BLVD,HARWOOD,58042,NORTH DAKOTA,USA
HWY   38TH,ALICE,58031,NORTH DAKOTA,USA
HWY   18,ARTHUR,58006,NORTH DAKOTA,USA
CO RD   34,ARTHUR,58006,NORTH DAKOTA,USA
LIBERTY LN,HORACE,58047,NORTH DAKOTA,USA
ELM CT,HORACE,58047,NORTH DAKOTA,USA
OAK CT,HORACE,58047,NORTH DAKOTA,USA
MAPLE CIR,HORACE,58047,NORTH DAKOTA,USA
MAPLE LN,HORACE,58047,NORTH DAKOTA,USA
APPLE LN,HORACE,58047,NORTH DAKOTA,USA
EAGLE CT,MAPLETON,58059,NORTH DAKOTA,USA
RYAN RD,MAPLETON,58059,NORTH DAKOTA,USA
BIRDIE CT,MAPLETON,58059,NORTH DAKOTA,USA
MERIDIAN RD,MAPLETON,58059,NORTH DAKOTA,USA
INDUSTRIAL BLVD,CASSELTON,58012,NORTH DAKOTA,USA
US HWY 38,PAGE,58064,NORTH DAKOTA,USA
CO RD   81   N,ARGUSVILLE,58005,NORTH DAKOTA,USA
CO RD   81   N,GARDNER,58036,NORTH DAKOTA,USA
CO RD   81   N,HARWOOD,58042,NORTH DAKOTA,USA
CO RD   31   N,FARGO,58102,NORTH DAKOTA,USA
BAKERS LN N,REILES ACRES,58102,NORTH DAKOTA,USA
CO RD   18   N,GARDNER,58036,NORTH DAKOTA,USA
CO RD   81  S,HORACE,58047,NORTH DAKOTA,USA
ELLIS LN,HORACE,58047,NORTH DAKOTA,USA
WILLOW CT,HORACE,58047,NORTH DAKOTA,USA
BRIARWOOD PL,FARGO,58104,NORTH DAKOTA,USA
EVERGREEN CIR,OXBOW,58047,NORTH DAKOTA,USA
MEADOW LN,HICKSON,58047,NORTH DAKOTA,USA
PLUM TREE RD,HICKSON,58047,NORTH DAKOTA,USA
16TH ST N,FARGO,58102,NORTH DAKOTA,USA
BENDER BLVD,HARWOOD,58042,NORTH DAKOTA,USA
ALICE LN,HARWOOD,58042,NORTH DAKOTA,USA
THUE CT,HORACE,58047,NORTH DAKOTA,USA
HORSESHOE BEND,HORACE,58047,NORTH DAKOTA,USA
WOODLAND CIR,HORACE,58047,NORTH DAKOTA,USA
WEST RIVER RD,HORACE,58047,NORTH DAKOTA,USA
LIBERTY CIR,HORACE,58047,NORTH DAKOTA,USA
ROBIN RD,HORACE,58047,NORTH DAKOTA,USA
MAKENZIE CIR,HORACE,58047,NORTH DAKOTA,USA
CO RD   31   N,NORTH RIVER,58102,NORTH DAKOTA,USA
