street,city,postcode,state,country
ROOSEVELT AV,PAWTUCKET,02860,RHODE ISLAND,USA
MAIN ST,COVENTRY,02816,RHODE ISLAND,USA
INDUSTRIAL WY,TIVERTON,02878,RHODE ISLAND,USA
METACOM AV,BRISTOL,02809,RHODE ISLAND,USA
HOWARD HILL RD,FOSTER,02825,RHODE ISLAND,USA
CASWELL ST,NARRAGANSETT,02882,RHODE ISLAND,USA
VICTORY HWY,WEST GREENWICH,02817,RHODE ISLAND,USA
SMITHFIELD RD,NORTH SMITHFIELD,02896,RHODE ISLAND,USA
COMMONS,LITTLE COMPTON,02837,RHODE ISLAND,USA
CLINTON ST,WOONSOCKET,02895,RHODE ISLAND,USA
PLEASANT VIEW AV,SMITHFIELD,02917,RHODE ISLAND,USA
JOYCE ST,WARREN,02885,RHODE ISLAND,USA
AIRPORT CONNECTOR RD,WARWICK,02886,RHODE ISLAND,USA
PROVIDENCE PIKE,NORTH SMITHFIELD,02896,RHODE ISLAND,USA
OLD RIVER RD,LINCOLN,02865,RHODE ISLAND,USA
GEORGE ST,BARRINGTON,02806,RHODE ISLAND,USA
BARNEYVILLE RD,BARRINGTON,02806,RHODE ISLAND,USA
NEW MEADOW RD,BARRINGTON,02806,RHODE ISLAND,USA
SOWAMS RD,BARRINGTON,02806,RHODE ISLAND,USA
CONNOR LN,BARRINGTON,02806,RHODE ISLAND,USA
MALLARD COVE WY,BARRINGTON,02806,RHODE ISLAND,USA
DEEP MEADOW RD,BARRINGTON,02806,RHODE ISLAND,USA
HERITAGE RD,BARRINGTON,02806,RHODE ISLAND,USA
WAMPANOAG TRL,BARRINGTON,02806,RHODE ISLAND,USA
PINETOP RD,BARRINGTON,02806,RHODE ISLAND,USA
GRASSY PLAIN RD,BARRINGTON,02806,RHODE ISLAND,USA
VINELAND DR,BARRINGTON,02806,RHODE ISLAND,USA
GREENVILLE DR,BARRINGTON,02806,RHODE ISLAND,USA
GRASSY PLAIN RD,EAST PROVIDENCE,02915,RHODE ISLAND,USA
HAZELTON RD,BARRINGTON,02806,RHODE ISLAND,USA
WAVERLY RD,EAST PROVIDENCE,02915,RHODE ISLAND,USA
ORMAND DR,BARRINGTON,02806,RHODE ISLAND,USA
CIRCLE DR,EAST PROVIDENCE,02915,RHODE ISLAND,USA
BEAVER RD,EAST PROVIDENCE,02915,RHODE ISLAND,USA
ALBERT AV,BARRINGTON,02915,RHODE ISLAND,USA
BARRINGTON CT,EAST PROVIDENCE,02915,RHODE ISLAND,USA
ALBERT AV,BARRINGTON,02806,RHODE ISLAND,USA
REGAL POINT RD,BARRINGTON,02806,RHODE ISLAND,USA
GREAT RD,BARRINGTON,02806,RHODE ISLAND,USA
BEAVER RD,BARRINGTON,02806,RHODE ISLAND,USA
ZEPHYR LN,BARRINGTON,02806,RHODE ISLAND,USA
MIDDLE HWY,BARRINGTON,02806,RHODE ISLAND,USA
SHERBROOKE RD,BARRINGTON,02806,RHODE ISLAND,USA
WAVERLY RD,BARRINGTON,02806,RHODE ISLAND,USA
FAIRFIELD RD,BARRINGTON,02806,RHODE ISLAND,USA
CIRCLE DR,BARRINGTON,02806,RHODE ISLAND,USA
HICKORY LN,BARRINGTON,02806,RHODE ISLAND,USA
CARRIAGE TRL,BARRINGTON,02806,RHODE ISLAND,USA
COUNTY RD,BARRINGTON,02806,RHODE ISLAND,USA
COLLEGE LN,BARRINGTON,02806,RHODE ISLAND,USA
PRIMROSE HILL RD,BARRINGTON,02806,RHODE ISLAND,USA
KYLE ST,BARRINGTON,02806,RHODE ISLAND,USA
PECK LN,BARRINGTON,02806,RHODE ISLAND,USA
MAYFIELD DR,BARRINGTON,02806,RHODE ISLAND,USA
CLOVER LN,BARRINGTON,02806,RHODE ISLAND,USA
CLAREMONT RD,BARRINGTON,02806,RHODE ISLAND,USA
ELIZABETH RD,BARRINGTON,02806,RHODE ISLAND,USA
KENMORE CT,BARRINGTON,02806,RHODE ISLAND,USA
VERNON PL,BARRINGTON,02806,RHODE ISLAND,USA
FREDERICK DR,BARRINGTON,02806,RHODE ISLAND,USA
STANHOPE DR,BARRINGTON,02806,RHODE ISLAND,USA
OLD RIVER RD,BARRINGTON,02806,RHODE ISLAND,USA
BELTON DR,BARRINGTON,02806,RHODE ISLAND,USA
BELTON CIR,BARRINGTON,02806,RHODE ISLAND,USA
VERITAS WY,BARRINGTON,02806,RHODE ISLAND,USA
ACRE AV,BARRINGTON,02806,RHODE ISLAND,USA
COVE AV,BARRINGTON,02806,RHODE ISLAND,USA
GEORGE W FINNERTY RD,BARRINGTON,02806,RHODE ISLAND,USA
LAUREL LN,BARRINGTON,02806,RHODE ISLAND,USA
MARTHA CIR,BARRINGTON,02806,RHODE ISLAND,USA
RUSTWOOD DR,BARRINGTON,02806,RHODE ISLAND,USA
CHRISTINE DR,BARRINGTON,02806,RHODE ISLAND,USA
TALL PINES DR,BARRINGTON,02806,RHODE ISLAND,USA
FRANCIS ST,BARRINGTON,02806,RHODE ISLAND,USA
FERRIER AV,BARRINGTON,02806,RHODE ISLAND,USA
OLD FORGE RD,BARRINGTON,02806,RHODE ISLAND,USA
WEDGEWOOD LN,BARRINGTON,02806,RHODE ISLAND,USA
AZALEA CT,BARRINGTON,02806,RHODE ISLAND,USA
