street,city,postcode,state,country
EASTBURN RD,STRAFFORD,05072,VERMONT,USA
CATKIN DR,SOUTH BURLINGTON,05403,VERMONT,USA
POMFRET RD,POMFRET,05084,VERMONT,USA
PARKER RD,VERSHIRE,05079,VERMONT,USA
MOUNTAIN RD,MONTGOMERY,05471,VERMONT,USA
ASPEN CIR,SHELBURNE,05482,VERMONT,USA
MONUMENT HILL RD,HUBBARDTON,05735,VERMONT,USA
GEORGIA MIDDLE RD,GEORGIA,05478,VERMONT,USA
SLATE LEDGE RD,WATERFORD,05819,VERMONT,USA
ALPINE DR,MOUNT HOLLY,05758,VERMONT,USA
MOUNTAIN VIEW DR,LUDLOW,05149,VERMONT,USA
COMMERCE ST,WILLISTON,05495,VERMONT,USA
NORTH RD,ROYALTON,05032,VERMONT,USA
DUMAS DR,DERBY,05829,VERMONT,USA
SHATTARACK RD,STRATTON,05155,VERMONT,USA
QUECHEE MAIN ST,HARTFORD,05001,VERMONT,USA
LAKEWOOD PKWY,BURLINGTON,05408,VERMONT,USA
BECK POND RD,NEWARK,05871,VERMONT,USA
KING ST,NORTHFIELD,05663,VERMONT,USA
RAVEN CLIFF RD,BRISTOL,05443,VERMONT,USA
VT ROUTE 22A,BRIDPORT,05734,VERMONT,USA
WHISPER CIR,PANTON,05491,VERMONT,USA
MAIN ST,WEST RUTLAND,05777,VERMONT,USA
GREENBUSH RD,CHARLOTTE,05445,VERMONT,USA
N  HOLLOW RD,ROCHESTER,05767,VERMONT,USA
ROLLIE DAY RD,CORINTH,05039,VERMONT,USA
BLODGETT RD,CABOT,05658,VERMONT,USA
VT ROUTE 14   S,RANDOLPH,05041,VERMONT,USA
CHENEY RD,DORSET,05251,VERMONT,USA
BLACKBERRY CIR,COLCHESTER,05446,VERMONT,USA
CARPENTER HILL RD,POWNAL,05201,VERMONT,USA
US ROUTE 4,BRIDGEWATER,05034,VERMONT,USA
STOCKWELL DR,WESTMINSTER,05346,VERMONT,USA
NORTHGATE RD,BURLINGTON,05408,VERMONT,USA
BAYLEY HAZEN RD,GREENSBORO,05841,VERMONT,USA
LAMKIN ST,HIGHGATE,05459,VERMONT,USA
CATAMOUNT DR,LEICESTER,05733,VERMONT,USA
SUNTEC LOOP,DOVER,05356,VERMONT,USA
SALT ASH RD,PLYMOUTH,05056,VERMONT,USA
PAVILLION RD,THETFORD,05043,VERMONT,USA
VT ROUTE 101,TROY,05859,VERMONT,USA
CHESTNUT ST,BRATTLEBORO,05301,VERMONT,USA
GREEN MOUNTAIN TRAILER PARK,POWNAL,05261,VERMONT,USA
SAVAGE CT,WILLISTON,05495,VERMONT,USA
MILL BROOK RD,BOLTON,05465,VERMONT,USA
WATKINS RD,COLCHESTER,05446,VERMONT,USA
EAST RD,BERLIN,05641,VERMONT,USA
BUSHEY RD,SWANTON,05478,VERMONT,USA
JOA RD,HARTFORD,05084,VERMONT,USA
ROOSEVELT HWY,COLCHESTER,05446,VERMONT,USA
HARLOW HL,RANDOLPH,05060,VERMONT,USA
MILKY WAY,WESTMINSTER,05346,VERMONT,USA
HILL RD,BROOKLINE,05345,VERMONT,USA
ORTON RD,WALDEN,05836,VERMONT,USA
BACK COVENTRY RD,IRASBURG,05845,VERMONT,USA
OKEMO VIEW LN,MOUNT HOLLY,05758,VERMONT,USA
SAINT ALBANS RD,SWANTON,05488,VERMONT,USA
GUILFORD CENTER RD,GUILFORD,05301,VERMONT,USA
ROBERT YOUNG RD,STARKSBORO,05487,VERMONT,USA
TYLER ST,BRATTLEBORO,05301,VERMONT,USA
FOURTH ST,SWANTON,05488,VERMONT,USA
PERKINS RD,WEYBRIDGE,05753,VERMONT,USA
WORDEN RD,JAMAICA,05343,VERMONT,USA
OAKWOOD LN,CLARENDON,05759,VERMONT,USA
GAMACHE LN,SWANTON,05478,VERMONT,USA
MUNSON RD,MIDDLEBURY,05753,VERMONT,USA
WHETSTONE BROOK RD,CRAFTSBURY,05826,VERMONT,USA
PROSPECT ST,BARRE CITY,05641,VERMONT,USA
SUGAR LN,MENDON,05701,VERMONT,USA
VICTORIA DR,RUTLAND TOWN,05701,VERMONT,USA
KIDDER HILL RDG,IRASBURG,05845,VERMONT,USA
ROUTE 315,RUPERT,05768,VERMONT,USA
LEMON FAIR RD,WEYBRIDGE,05753,VERMONT,USA
LAKE RD,NEWPORT CITY,05855,VERMONT,USA
CRICKET LN,DOVER,05356,VERMONT,USA
MOORE HILL RD,NEWBURY,05051,VERMONT,USA
SOUTH ST,WOODSTOCK,05091,VERMONT,USA
VT ROUTE 116,STARKSBORO,05487,VERMONT,USA
HAGER LN,SEARSBURG,05363,VERMONT,USA
VINCENZA WAY,COLCHESTER,05446,VERMONT,USA
BENSON FULLER DR,WINHALL,05340,VERMONT,USA
URBAN FARM WAY,CABOT,05647,VERMONT,USA
PIONTEK RD,CASTLETON,05735,VERMONT,USA
NORTH AVE,SAINT JOHNSBURY,05819,VERMONT,USA
SHOP DR,TUNBRIDGE,05038,VERMONT,USA
PLEASANT VALLEY RD,SPRINGFIELD,05156,VERMONT,USA
BALD MOUNTAIN CAMPGROUND,TOWNSHEND,05353,VERMONT,USA
DEPOT ST,CAVENDISH,05153,VERMONT,USA
QUARRY RD,DORSET,05253,VERMONT,USA
HILDRED DR,BURLINGTON,05401,VERMONT,USA
LOWER NEWTON RD,SAINT ALBANS TOWN,05488,VERMONT,USA
LINHALE DR,SPRINGFIELD,05156,VERMONT,USA
COBB HILL RD,LINCOLN,05443,VERMONT,USA
PARSONS LN,NORTHFIELD,05663,VERMONT,USA
BALTIMORE RD,BALTIMORE,05143,VERMONT,USA
